0.217469, -13.860136, 68.332115
-0.226268, 10.566475, 39.553982
-3.689495, 6.203821, 40.159523
3.613763, 6.257575, 40.029438
-6.813026, 7.891991, 37.516628
6.324754, 8.109342, 37.526596
-10.866316, 13.730668, 20.599365
10.843328, 13.663549, 20.675194
-10.11687, 15.22287, 11.181825
10.153083, 15.153901, 11.216746
-5.902934, 10.888931, 3.089641
5.807292, 10.872710, 3.081226
-9.766281, -1.853524, 38.822239
9.745612, -1.822872, 38.759541
-2.014375, -8.645645, 30.913752
-10.965766, -0.204803, 20.198553
11.223559, 0.849981, 19.887234
-3.507453, -5.924526, 2.46912
3.497073, -5.947127, 2.436899